City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,-18.95,76,82,3.43,GL,1708711037
1,adamstown,-25.066,-130.1015,26.26,79,68,5.27,PN,1708710773
2,mashhad,36.297,59.6062,7.08,57,40,3.09,IR,1708711038
3,vallenar,-28.5708,-70.7581,27.55,31,0,6.01,CL,1708711038
4,port-aux-francais,-49.35,70.2167,8.74,94,100,12.9,TF,1708710802
5,iqaluit,63.7506,-68.5145,-26.84,62,100,1.54,CA,1708711038
6,jahazpur,25.6167,75.2833,16.06,21,0,2.82,IN,1708711038
7,keflavik,64.0049,-22.5624,2.95,86,40,7.72,IS,1708711039
8,wangkui,46.8333,126.5,-22.34,100,35,1.72,CN,1708711039
9,edinburgh of the seven seas,-37.0676,-12.3116,16.8,74,83,5.89,SH,1708711039
10,lebu,-37.6167,-73.65,16.23,70,30,8.63,CL,1708711039
11,ushuaia,-54.8,-68.3,8.79,71,75,10.29,AR,1708711040
12,bethel,41.3712,-73.414,6.34,83,75,2.57,US,1708711040
13,blackmans bay,-43.0167,147.3167,14.07,72,87,1.34,AU,1708711041
14,bilibino,68.0546,166.4372,-33.7,99,100,1.17,RU,1708711041
15,geraldton,-28.7667,114.6,30.23,51,100,9.77,AU,1708711041
16,suva,-18.1416,178.4415,25.71,94,75,1.03,FJ,1708710771
17,essaouira,31.5125,-9.77,18.72,72,40,7.2,MA,1708711041
18,anadyr,64.75,177.4833,-24.72,75,0,5.0,RU,1708711042
19,hawaiian paradise park,19.5933,-154.9731,22.8,91,40,1.54,US,1708711042
20,thinadhoo,0.5333,72.9333,27.97,81,64,3.56,MV,1708711042
21,masterton,-40.9597,175.6575,17.28,94,44,2.12,NZ,1708711042
22,viedma,-40.8135,-62.9967,21.0,31,1,7.84,AR,1708711043
23,grytviken,-54.2811,-36.5092,8.17,91,100,7.09,GS,1708710804
24,east london,-33.0153,27.9116,23.52,94,100,6.17,ZA,1708711043
25,bethanie,-26.4833,17.15,29.32,10,2,7.67,NA,1708711043
26,miyako,39.6367,141.9525,-4.52,76,48,3.74,JP,1708711044
27,carauari,-4.8828,-66.8958,34.56,44,94,2.23,BR,1708711044
28,fale old settlement,-9.3852,-171.2468,28.72,74,69,3.55,TK,1708711044
29,vilyuysk,63.7553,121.6247,-31.67,100,99,0.89,RU,1708711044
30,avarua,-21.2078,-159.775,26.03,100,100,3.09,CK,1708710772
31,tiksi,71.6872,128.8694,-28.21,99,47,2.98,RU,1708711045
32,port elizabeth,-33.918,25.5701,25.61,90,20,9.26,ZA,1708711045
33,piti village,13.4626,144.6933,26.03,93,100,4.12,GU,1708711045
34,jalai nur,49.45,117.7,-24.33,98,100,1.55,CN,1708711046
35,tres arroyos,-38.3739,-60.2798,24.11,41,100,8.13,AR,1708711046
36,olonkinbyen,70.9221,-8.7187,-0.99,91,79,11.17,SJ,1708711046
37,callaway,30.153,-85.5699,23.34,78,75,9.26,US,1708711046
38,klyuchi,52.2667,79.1667,-19.2,93,98,2.57,RU,1708711047
39,hadibu,12.65,54.0333,24.89,60,66,4.74,YE,1708711047
40,sinop,41.7711,34.8709,6.62,58,92,2.99,TR,1708711047
41,tazovsky,67.4667,78.7,-22.53,99,43,4.1,RU,1708711048
42,invercargill,-46.4,168.35,17.2,63,99,5.35,NZ,1708711048
43,enewetak,11.3474,162.3373,26.02,79,91,8.95,MH,1708711048
44,ribeira grande,38.5167,-28.7,15.99,72,40,3.6,PT,1708711048
45,papatowai,-46.5619,169.4708,14.92,66,77,2.79,NZ,1708711048
46,mendoza,-32.8908,-68.8272,25.74,27,40,4.12,AR,1708710491
47,udachny,66.4167,112.4,-26.02,75,100,1.26,RU,1708711049
48,waitangi,-43.9535,-176.5597,17.12,95,32,1.79,NZ,1708711049
49,wailua homesteads,22.0669,-159.378,21.24,76,49,5.13,US,1708711049
50,urangan,-25.3,152.9,26.78,81,93,3.58,AU,1708711050
51,swift current,50.2834,-107.8014,0.45,74,0,8.75,CA,1708711050
52,kankaanpaa,61.8,22.4167,3.42,100,100,5.38,FI,1708711050
53,vernon,50.2581,-119.2691,8.5,92,26,2.57,CA,1708711050
54,nantucket,41.2835,-70.0995,7.23,87,100,3.6,US,1708710925
55,ust'-ilimsk,58.0006,102.6619,-24.2,99,88,2.24,RU,1708711050
56,canutama,-6.5339,-64.3831,35.16,41,99,2.61,BR,1708711051
57,okhotsk,59.3833,143.3,-24.24,78,14,6.7,RU,1708711051
58,yellowknife,62.456,-114.3525,-10.71,85,75,2.57,CA,1708711051
59,sandnessjoen,66.0217,12.6316,5.29,60,40,11.83,NO,1708711051
60,west island,-12.1568,96.8225,27.99,78,95,4.63,CC,1708710769
61,namibe,-15.1961,12.1522,25.07,80,51,4.71,AO,1708711052
62,alice springs,-23.7,133.8833,27.9,36,0,3.6,AU,1708710975
63,hermanus,-34.4187,19.2345,19.89,81,3,3.8,ZA,1708711052
64,afaahiti,-17.75,-149.2833,28.93,79,97,2.29,PF,1708711052
65,lihue,21.9789,-159.3672,21.58,76,58,4.57,US,1708711052
66,margaret river,-33.95,115.0667,18.36,84,100,5.19,AU,1708711053
67,puerto natales,-51.7236,-72.4875,11.25,50,75,6.69,CL,1708711053
68,alo,7.4178,6.7371,29.6,22,99,1.86,NG,1708711053
69,pisco,-13.7,-76.2167,27.03,69,0,4.63,PE,1708711053
70,kayangel,8.0823,134.7173,27.33,79,97,6.62,PW,1708711054
71,anatuya,-28.4606,-62.8347,26.4,58,97,8.74,AR,1708711054
72,sorong,-0.8833,131.25,27.07,83,100,5.07,ID,1708711054
73,north bend,43.4065,-124.2243,12.26,93,0,2.06,US,1708711054
74,lilongwe,-13.9669,33.7873,21.25,91,100,1.15,MW,1708710771
75,beloyarskiy,63.7119,66.6722,-6.67,95,100,4.02,RU,1708711054
76,aral,40.5156,81.2636,-1.86,41,98,1.53,CN,1708711055
